State_ABR,State,Population
AL,Alabama,5024279
AR,Arkansas,3011524
AZ,Arizona,7151502
CA,California,39538223
CO,Colorado,5773714
CT,Connecticut,3605944
DE,Delaware,989948
FL,Florida,21538187
GA,Georgia,10711908
IA,Iowa,3190369
ID,Idaho,1839106
IL,Illinois,12812508
IN,Indiana,6785528
KS,Kansas,2937880
KY,Kentucky,4505836
LA,Louisiana,4657757
MA,Massachusetts,7029917
MD,Maryland,6177224
ME,Maine,1362359
MI,Michigan,10077331
MN,Minnesota,5706494
MO,Missouri,6154913
MS,Mississippi,2961279
MT,Montana,1084225
NC,North Carolina,10439388
ND,North Dakota,779094
NE,Nebraska,1961504
NH,New Hampshire,1377529
NJ,New Jersey,9288994
NM,New Mexico,2117522
NV,Nevada,3104614
NY,New York,20201249
OH,Ohio,11799448
OK,Oklahoma,3959353
OR,Oregon,4237256
PA,Pennsylvania,13002700
RI,Rhode Island,1097379
SC,South Carolina,5118425
SD,South Dakota,886667
TN,Tennessee,6910840
TX,Texas,29145505
UT,Utah,3271616
VA,Virginia,8631393
VT,Vermont,643077
WA,Washington,7705281
WI,Wisconsin,5893718
WV,West Virginia,1793716
WY,Wyoming,576851
